Treasure =STATUE from ENGLAND; material=NEPHRITIS; price=22911
Treasure =TRAY from USA; material=PLATINUM; price=34146
Treasure =AMULET from ITALY; material=DIAMOND; price=58340
Treasure =CUP from BELARUS; material=DIAMOND; price=25706
Treasure =BOWL from GERMAN; material=NEPHRITIS; price=89909
Treasure =TRAY from FRANCE; material=NEPHRITIS; price=9376
Treasure =EARRINGS from CYPRUS; material=DIAMOND; price=30424
Treasure =AMULET from PORTUGAL; material=SILVER; price=52443
Treasure =ARMOR from PORTUGAL; material=PLATINUM; price=26154
Treasure =ARMOR from SPAIN; material=PLATINUM; price=35937
Treasure =EARRINGS from AUSTRIA; material=SILVER; price=37147
Treasure =ARMOR from ENGLAND; material=NEPHRITIS; price=29999
Treasure =AMULET from SPAIN; material=TITAN; price=53732
Treasure =SHIELD from AUSTRIA; material=TITAN; price=28272
Treasure =GLOVES from PORTUGAL; material=SILVER; price=80921
Treasure =EARRINGS from BELARUS; material=PLATINUM; price=99285
Treasure =SOUVENIR from GERMAN; material=TITAN; price=68723
Treasure =ARMOR from TURKEY; material=UNKNOWN; price=29622
Treasure =STATUE from AUSTRIA; material=UNKNOWN; price=72427
Treasure =HELMET from CYPRUS; material=UNKNOWN; price=88507
Treasure =CUP from AUSTRIA; material=NEPHRITIS; price=82578
Treasure =HELMET from BELARUS; material=NEPHRITIS; price=8334
Treasure =KNIFE from CYPRUS; material=DIAMOND; price=79901
Treasure =MASCOT from CYPRUS; material=SILVER; price=5401
Treasure =ARMOR from SCOTLAND; material=UNKNOWN; price=1488
Treasure =STATUE from AUSTRIA; material=NEPHRITIS; price=22234
Treasure =AMULET from FRANCE; material=GOLD; price=76885
Treasure =HELMET from FRANCE; material=PLATINUM; price=52889
Treasure =MASCOT from AUSTRIA; material=TITAN; price=27614
Treasure =RING from TURKEY; material=UNKNOWN; price=68629
Treasure =EARRINGS from AUSTRIA; material=NEPHRITIS; price=62601
Treasure =MASCOT from USA; material=GOLD; price=29517
Treasure =GLOVES from GERMAN; material=NEPHRITIS; price=31743
Treasure =SOUVENIR from ITALY; material=DIAMOND; price=91518
Treasure =HELMET from TURKEY; material=UNKNOWN; price=77588
Treasure =TRAY from USA; material=PLATINUM; price=75368
Treasure =STATUE from PORTUGAL; material=PLATINUM; price=3309
Treasure =STATUE from AUSTRIA; material=NEPHRITIS; price=87209
Treasure =STATUE from SCOTLAND; material=SILVER; price=26463
Treasure =AMULET from BELARUS; material=TITAN; price=89066
Treasure =GLOVES from TURKEY; material=UNKNOWN; price=30656
Treasure =RING from TURKEY; material=DIAMOND; price=34800
Treasure =CHAIN from ENGLAND; material=NEPHRITIS; price=49404
Treasure =GLOVES from SPAIN; material=NEPHRITIS; price=72071
Treasure =EARRINGS from GERMAN; material=NEPHRITIS; price=2051
Treasure =GLOVES from GERMAN; material=DIAMOND; price=78853
Treasure =GLOVES from SPAIN; material=SILVER; price=54390
Treasure =CHAIN from GERMAN; material=PLATINUM; price=52641
Treasure =HELMET from GREECE; material=UNKNOWN; price=46158
Treasure =AMULET from TURKEY; material=DIAMOND; price=8108
Treasure =CLOCK from GERMAN; material=NEPHRITIS; price=33259
Treasure =STATUE from GREECE; material=PLATINUM; price=3665
Treasure =CHAIN from SPAIN; material=DIAMOND; price=49538
Treasure =TRAY from USA; material=SILVER; price=6202
Treasure =RING from TURKEY; material=DIAMOND; price=36303
Treasure =TRAY from SPAIN; material=NEPHRITIS; price=96016
Treasure =CUP from GREECE; material=PLATINUM; price=98207
Treasure =CUP from AUSTRIA; material=PLATINUM; price=98104
Treasure =RING from PORTUGAL; material=TITAN; price=72415
Treasure =GLOVES from GREECE; material=SILVER; price=22107
Treasure =CHAIN from AUSTRIA; material=GOLD; price=90400
Treasure =SHIELD from SPAIN; material=GOLD; price=79386
